"text","pred_label","true_label"
"However, we also need to maintain a reasonable balance between the ability of workers to strike and the rights of the public, who work hard and expect the essential services that they pay for to be there when they need them. We must be able to have confidence that when strikes occur, peopleÃ¢â‚¬â„¢s lives and livelihoods are not put at undue risk. As has become clear from recent industrial action, that is not always the case, so we need a safety net in place to ensure that the public do not become collateral damage.","RELATE","RELATE"
"it is perfectly proper to have a balance between minimum service levels and peopleÃ¢â‚¬â„¢s right to strike.","BALANC","RIGHTS"
"It is fairly obvious to say that a minimum service level in railways, for example, is about peopleÃ¢â‚¬â„¢s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.","PHYSICAL","ECONOMIC"
"The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one personÃ¢â‚¬â„¢s right to strike does not infringe on someone elseÃ¢â‚¬â„¢s right to life and limb.","BALANC","ECONOMIC"
"The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the GovernmentÃ¢â‚¬â„¢s legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in educationÃ¢â‚¬â€only in transport.","RIGHTS","RIGHTS"
"Employers will be required to consult the union on the number of workers to be identified in the work notice and the work to be undertaken, and have regard to the unionÃ¢â‚¬â„¢s views before issuing that work notice.","RIGHTS","COLLECT"
"Employers must have no regard to whether someone is or is not a member of the unionÃ¢â‚¬â€or even the CLPÃ¢â‚¬â€when deciding whether they need to be included in that work notice.","RIGHTS","RIGHTS"
"It is important to say that I agree with him, for once, because we are trying to work constructivelyÃ¢â‚¬â€as we shouldÃ¢â‚¬â€to bring strikes to a conclusion, but we must not do so at the expense of the lives and livelihoods of our constituents.","PHYSICAL","RELATE"
"The Government, unions, employers and workers have a role to play in ensuring that essential services continue even during strikes.","BALANC","BALANC"
"Countries such as Australia and Canada have the ability to ban outright those strikes that would endanger lives, such as in some blue-light services.","COMPAR","COMPAR"
"However, this legislation does not seek to ban the right to strike.","RIGHTS","RIGHTS"
"All that we are saying is that, in certain services in these important sectors, the right to strike must be balanced against the needs of the public to rely on a basic level of life-saving care.","RIGHTS","BALANC"
"As I have explained a number of times, we have seen in recent months a flare-up of strikes that are putting peopleÃ¢â‚¬â„¢s lives and livelihoods at risk.","ECONOMIC","ECONOMIC"
"It does not remove peopleÃ¢â‚¬â„¢s ability to strike, but it prevents union bosses who perhaps are not as reasonable as the RCN from calling strikes that potentially put peopleÃ¢â‚¬â„¢s lives at risk.","RELATE","RELATE"
"In this Second Reading debate, we are simply asking the unions to tell us when they are going to withdraw their labour so that we can agree a minimum safety level.","BALANC","RIGHTS"
"These people always turn up, often at times of crisis, and work without complaint to provide minimum service levels, and they do it on pay and conditions that are often inferior to what the unions are currently demanding.","BALANC","COMPAR"
"It threatens teachers and nurses with the sack during a recruitment and retention crisis, and mounts an outright assault on the fundamental freedom of working people, while doing absolutely nothing to resolve the crisis at hand.","POWER","JUST"
"The public expect that, and the Government have a responsibility to oversee that and ensure that these levels of services help to protect and safeguard lives, keep our country safe, support the economy and ensure that the British publicÃ¢â‚¬â€the silent, hard-working majorityÃ¢â‚¬â€can go about living their lives in the way that we all want to see.","RELATE","RELATE"
"We have seen businesses and, in Essex, small and medium-sized enterprises, operating on tight marginsÃ¢â‚¬â€not glitzy corporationsÃ¢â‚¬â€now suffering because of the strikes.","ECONOMIC","ECONOMIC"
"It is reform that we should be talking about todayÃ¢â‚¬â€reform that can lead to better public service delivery, changes to our lawsÃ¢â‚¬â€","RIGHTS","RIGHTS"
"The legislation is nothing more than an attack on democracyÃ¢â‚¬â€an attack on the rights of workers to withdraw their labour, and a further attack on devolution.","AUTONOMY","LEGAL"
"Richard Arthur, head of trade union law at Thompsons Solicitors, said the Bill raised,

Ã¢â‚¬Å“very serious legal question marksÃ¢â‚¬Â,

and anticipates legal challenges under article 11 of the ECHR and convention 87 of the International Labour Organisation.","LEGAL","LEGAL"
"Allowing employers to decide who has to work on notified strike days clearly infringes on workersÃ¢â‚¬â„¢ rights to withdraw labour.","RELATE","JUST"
"Instead of the illegal blacklisting previously done by some companies, employers now can name workers they want to break a strike, and sack those workers if they stay true to their beliefs.","RIGHTS","POWER"
"It also ignores the fact that section 240 of the 1992 Act, as my hon. Friend the Member for Glasgow South West (Chris Stephens) keeps saying, allows for preserving life and limb, and that unions have their own practices to comply with that legislation.","LEGAL","LEGAL"
