"text","pred_label","true_label"
"The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person’s right to strike does not infringe on someone else’s right to life and limb.","Grant Shapps","Grant Shapps"
"The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the Government’s legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in education—only in transport.","Joanna Cherry","Joanna Cherry"
"Employers will be required to consult the union on the number of workers to be identified in the work notice and the work to be undertaken, and have regard to the union’s views before issuing that work notice.","Justin Madders","Grant Shapps"
"The Government, unions, employers and workers have a role to play in ensuring that essential services continue even during strikes.","Grant Shapps","Grant Shapps"
"Countries such as Australia and Canada have the ability to ban outright those strikes that would endanger lives, such as in some blue-light services.","Ruth Edwards","Grant Shapps"
"However, this legislation does not seek to ban the right to strike.","Sajid Javid","Grant Shapps"
"All that we are saying is that, in certain services in these important sectors, the right to strike must be balanced against the needs of the public to rely on a basic level of life-saving care.","Grant Shapps","Grant Shapps"
"In this Second Reading debate, we are simply asking the unions to tell us when they are going to withdraw their labour so that we can agree a minimum safety level.","Grant Shapps","Grant Shapps"
"These people always turn up, often at times of crisis, and work without complaint to provide minimum service levels, and they do it on pay and conditions that are often inferior to what the unions are currently demanding.","Justin Madders","James Sunderland"
"It threatens teachers and nurses with the sack during a recruitment and retention crisis, and mounts an outright assault on the fundamental freedom of working people, while doing absolutely nothing to resolve the crisis at hand.","Tommy Sheppard","Angela Rayner"
"Richard Arthur, head of trade union law at Thompsons Solicitors, said the Bill raised,

“very serious legal question marks”,

and anticipates legal challenges under article 11 of the ECHR and convention 87 of the International Labour Organisation.","Stephen Doughty","Alan Brown"
"Allowing employers to decide who has to work on notified strike days clearly infringes on workers’ rights to withdraw labour.","Owen Thompson","Alan Brown"
"Instead of the illegal blacklisting previously done by some companies, employers now can name workers they want to break a strike, and sack those workers if they stay true to their beliefs.","Richard Burgon","Alan Brown"
