"text","pred_label","true_label"
"and many others now facing the prospect of losing their job as deeper cuts to the public sector continue to bite.","Conservatives","Labour Party"
"May I ask the right hon<prd> Lady to present an argument for why this provision should not be extended elsewhere?","not_statement","not_statement"
"I will rephrase what I was saying.","not_statement","not_statement"
"I would rather have clean donations from trade unions any day over anything that the Conservative party receives from non-doms.","Labour Party","not_statement"
"Grant Shapps I agree that we have had a good working relationship for the last several decades.","not_statement","not_statement"
"I turn next to clause 12 and the issue of facility time. I believe that in an increasingly transparent world, with the publication by public bodies of items of expenditure over �500, it is only right that trade union activity, effectively subsidised by the taxpayers, is subject to the same scrutiny, particularly at a time of reduced budgets.","Conservative Party","Conservative Party"
"We have seen commuters who cannot get to work.","Conservative Party","not_statement"
"This House will understand my particular interest in operational frontline workers, especially when it comes to the police, who cannot strike, and also fire and rescue workers and Border Force officers.","not_statement","not_statement"
"It says it is protecting workers’ rights.","not_statement","not_statement"
"Much was achieved by the combined work of the Labour party and the trade unions in enhancing workers� rights, but Labour Members, some of whom tend to use rather over-the-top language, should recognise that things have changed quite a lot in the past 50 or 60 years.","Conservative Party","Conservative Party"
"The major aspects of the Bill will breach the legally binding undertakings that UK Governments have signed up to through the International Labour Organisation","Labour and Co-Operative Party","Labour Party"
"New clause 36 will allow for the regulation of umbrella companies and for enforcement by the Employment Agency Standards Inspectorate, and subsequently the Fair Work Agency.","not_statement","not_statement"
"(2) A Minister of the Crown must by regulations make provision for—  (a) forms through which P may anonymously question R on any matter relevant to subsection (1);  (b) forms through which R may answer questions by P; and  (c) such forms to be made publicly available.","not_statement","not_statement"
"Not only does this Bill have the wrong answers, but it is not even asking the right questions. It shows that the powerful now wish to hold the powerless to account.
","Conservative Party","Labour Party"
"Richard Burgon (Leeds East) (Lab) I thank the Secretary of State for giving way.","not_statement","not_statement"
"(3B) It shall be the duty of every employer to provide training to all employees on recognising and preventing violence and harassment in the workplace, with a focus on gender-responsive approaches.","not_statement","not_statement"
"Millions of people who rely on essential transport to get to work or to family commitments now every day have the extra stress of worrying about making alternative, sometimes costly, arrangements because of the forever strikes.","Conservatives","Conservative Party"
"It is therefore appropriate to find a mechanism by which those two rights can be reconciled.","Conservative Party","not_statement"
"The Bill is not about views on the rights and wrongs of the current strikes.","Scottish National Party","not_statement"
"Indeed, the general secretary of the European Federation of Public Service Unions, Jan Willem Goudriaan, argued that comparison by the UK Government of this Bill with existing laws in other EU countries was misrepresenting the situation, because all minimum service levels in Europe are agreed through negotiation.","Scottish National Party","not_statement"
"Countries such as Australia and Canada have the ability to ban outright those strikes that would endanger lives, such as in some blue-light services.","Conservatives","Conservatives"
"It contains wide, prospective Henry VIII powers, and as we saw during the pandemic, if we give the Government such powers, they abuse them—but they are putting them in legislation.","not_statement","Labour"
"The insights gained have been invaluable in informing the amendments to ensure the Bill works in practice, both for workers and for businesses of all sizes across the whole country.","Conservative Party","not_statement"
"As I said at the start, it is an act of political violence.","not_statement","not_statement"
"Let me end by saying that there is absolutely nothing in the Bill that we can commend. There is nothing in it to tackle the industrial relations challenges that we face, and nothing to protect centuries-old principles of justice and confidentiality. Instead, we have been presented with a cynical and pernicious Bill that should be consigned to the dark recesses of prejudice whence it came.","Labour Party","Labour Party"
"These people always turn up, often at times of crisis, and work without complaint to provide minimum service levels, and they do it on pay and conditions that are often inferior to what the unions are currently demanding.","not_statement","Conservatives"
"Amendment 1, in clause 16, page 33, line 8, at end insert—  “( ) after subsection (2) insert—  “(2A) The conditions specified under subsection (2) must be framed so as to ensure that a “bereaved person” includes those bereaved by pregnancy loss.","not_statement","not_statement"
"New clause 37 and associated amendments will enable the Scottish and Welsh Ministers to establish their own separate negotiating bodies and associated framework, and to enable their negotiating bodies and the resulting agreements to cover social care workers in both adult and children’s social care.","not_statement","not_statement"
"Neither the Scottish Government nor the Welsh Government want this legislation, but, yet again, this legislation will be imposed on the devolved nations.","Scottish National Party","not_statement"
"New clause 85—Employer duties on harassment: impact assessment—  “(1) The Secretary of State must carry out an assessment of the likely impact of section 18 of this Act on employers.","not_statement","not_statement"
" We recognised a trade union to represent our staff, to collectively bargain on their behalf, to represent their interests and to ensure that we could discuss with them any changes necessary for the continued success of the business in the best interests of staff. To do that, we had check-off and facility time in place. As we have heard from many Members today, deductions from payroll are a common way for employers to help employees with regular payments. Many Members make payments to charity through our payroll and the Independent Parliamentary Standards Authority. It is good enough for them, but it seems that it will not be good enough for trade union members. Check-off arrangements worked for us as an employer and for our staff, and it was freely agreed. Many employers in both the private and public sectors feel the same.
","Conservative Party","Labour Party"
"There is no real wrong that this Bill is trying to right. It is not about high principle, just low politics.","Labour Party","Labour Party"
"This Bill could increase the frequency of strikes and the  “numbers of staff taking action short of striking”  and lead to employers finding that they are “low on staff.","Conservative Party","not_statement"
"The Labour party would have us believe that this is some outrageous attack on workers’ rights—“political violence”, said the hon. Member for Jarrow (Kate Osborne)—and something that no civilised country could possibly contemplate. No civilised country other than Spain, Italy, Germany, France, or indeed the United States, Australia and Canada, which in some areas have an outright ban on strikes in blue-light services. Normally, Opposition Members idolise Europe’s approach to employment rights, but on the issue of minimum services they are keeping very quiet.","Conservatives","Conservatives"
"It has more holes in it than the last Chancellor’s Budget, yet we are being given next to no time to scrutinise it.","Scottish National Party","not_statement"
"We have seen Opposition Members go on picket lines and cheer and make political points.","Conservative Party","not_statement"
"Reading the Bill, I have a strong sense that those drafting it do not understand how the system works, and I urge Government Members to think through the unintended consequences. Thanks to previous Conservative legislation, unions have been forced to maintain political funds to carry out their mainstream functions. Unison�s predecessor union, the National and Local Government Officers� Association, famously had to do that to campaign on behalf of its members just for public services�core union business. Yet the Bill muddles maintaining the political fund with links to the Labour party, and in attacking the latter muddies the waters still further.","Conservative Party","Labour Party"
"We will publish the Government�s response and details of the scope of the 40% threshold by the time the Bill is in Committee in the other place. As I have said, these measures will not make strikes illegal or impossible. If union leaders can make a genuine and compelling case to their members, they will have no problem securing the votes required. I believe that the vast majority of industrial action is unfortunate and unnecessary, but it is important that workers are able to go on strike. If union members truly want to do so, I will not stand in their way.
","Conservative Party","Conservative Party"
