"text","pred_label","true_label"
"New clause 30—Special constables: right to time off for public duties—  “(1) The Employment Rights Act 1996 is amended is follows.","not_statement","not_statement"
"yet the Bill’s attack on zero- hours contracts threatens to wipe out opportunities for students, part-time workers and those juggling multiple jobs to make ends meet.
","STATUS","STATUS"
"will the ministerial team listen carefully to the points that have been made, because we do not want trade unionists going about their business in towns across the country inadvertently finding themselves criminalised? I am sure that that, on its own, would undermine the consensus.","GENERAL","GENERAL"
" We believe that this Bill seeks to undermine the great work of the trade union movement.","GENERAL","GENERAL"
"Amendment 341, page 131, line 15, leave out from “are” to the end of line 19 and insert—  “matters relating to or connected with matters in Section 178(2) of the Trade Union and Labour Relations (Consolidation) Act 1992.","not_statement","not_statement"
"”  This new clause would change the minimum notice period for termination of contract to a day one right, and would increase the notice period to: one month for an employee who has been employed for up to twelve years; and twelve months for an employee who has been employed for over twelve years.","not_statement","not_statement"
"These are negotiated between the unions and the employers.","STRIKE","STRIKE"
"Members must not shout other Members down.","not_statement","not_statement"
"I do not share the analysis of the hon. Member for Bexhill and Battle (Huw Merriman) about the nature of the Bill, which attacks fundamental civil liberties and the democratic rights of trade union members.","GENERAL","GENERAL"
"That is not a task for a single Department or Minister.","not_statement","not_statement"
"Government amendment 18.","not_statement","not_statement"
"Instead, unions will provide reminders about members’ right to opt out every 10 years, ensuring transparency without imposing costly and time-consuming ballots","STRIKE","GENERAL"
"Grant Shapps I simply do not accept that point.","not_statement","not_statement"
"Time and again, the Tories show that they are on the wrong side.","GENERAL","not_statement"
"The consensus on the economic impacts of labour laws is that, far from being harmful to growth, they contribute positively to productivity. Labour laws also help ensure that growth is more inclusive and that gains are distributed more widely across society","GENERAL","STATUS"
" This is an issue of transparency. It is about ensuring that when people, rightly, give money to any political party, they know that they are doing so and do it with their eyes wide open.","GENERAL","GENERAL"
"They are the reason why people need strong trade unions and a Labour Government, because the Tories will never be on the side of working people.","STRIKE","not_statement"
"When people apply for jobs, equality monitoring forms do not ask them whether they have unpaid caring responsibilities. There is also no direct requirement for simple, reasonable adjustments for carers in the workplace. I feel that this would make all the difference, encouraging those who might otherwise leave employment to stay, making our economy more resilient and protecting their own families’ finances.","GENERAL","EQUAL"
"In British society, we all depend on public services in our daily lives. Parents rely on schools to be open. They cannot put their children into another one if their school is closed by a strike. Patients rely on hospitals to be open. They cannot go elsewhere for the appointment they have waited for anxiously. People rely on trains and buses to get them to work on time. They cannot use another train or bus company if their local service has been shut down by a strike. As the Mayor of London, my hon. Friend the Member for Uxbridge and South Ruislip (Boris Johnson) pointed out, most of the people travelling on public transport are paid much less and work much longer hours than those people driving it.","STRIKE","STRIKE"
"It is the case that the employers and the unions, and more recently Ministers as well, have been meeting, and it is also the case that even when there have been ministerial meetings—including in Scotland and Labour Wales—the disputes have continued.","not_statement","not_statement"
