"text","pred_label","true_label"
"Millions of people who rely on essential transport to get to work or to family commitments now every day have the extra stress of worrying about making alternative, sometimes costly, arrangements because of the forever strikes.","ECONOMIC","ECONOMIC"
"Our view is that the Government have no right to interfere in the industrial relations of councils, health boards or devolved Administrations in the United Kingdom. Facility time improves industrial relations. It negates issues that would otherwise go to tribunal. If an employer has good facility time arrangements, disciplinary hearings and grievance hearings, for example, are conducted in a timeous fashion. If facility time is interfered with, those timescales will slip. Facility time is a good thing, it is good for industrial relations and it gets things done.","RELATE","RELATE"
"I have just visited its website, which states:  “The British Chambers of Commerce has used an evidence session on the Employment Rights Bill to highlight businesses’ serious concerns about the legislation and the speed and detail of consultation.","not_statement","not_statement"
"(2) In section 43C (Disclosure to employer or other responsible person), after subsection (2) insert―  “(3) Employers must take reasonable steps to investigate any disclosure made to them under this section.","not_statement","not_statement"
"Janet Daby (Lewisham East) (Lab) Is the right hon<prd> Lady aware that the Secretary of State’s own colleagues—the Secretaries of State for Transport and for Education—believe that the Bill will not solve the strikes?","not_statement","not_statement"
"it is perfectly proper to have a balance between minimum service levels and people’s right to strike.","BALANC","RIGHTS"
"I am grateful to her and to other hon<prd> Members and campaigners for speaking about that issue—we have heard them.","not_statement","not_statement"
"No party can claim to be representative of workers when they attack the workers� very own institutions�the trade unions.","POLIT","AUTONOMY"
"”  This new clause would require the Secretary of State to consult on a period of protected paternity or parental partner leave, and require them to introduce protected paternity or parental partner leave by regulations at a subsequent date.","not_statement","not_statement"
"I am so minded by personal experience: when the National Union of Teachers was on strike in 2012, that had an impact on me as a parent. I certainly remember that the turnout was 27% of all members, so the impact on children and parents�my constituents�seemed completely disproportionate to the number who voted in favour of the strike.","BALANC","BALANC"
"What about cleaners, administrators or carers—or any worker in a sector not supported by unions?","AUTONOMY","not_statement"
"The Government argue that a positive impact of the provisions in clauses 2 and 3 will be that unions will work harder to make the case for ballots for industrial action. However, it is far more likely that there will be greater disruption and use of leverage campaigns, such as withdrawal of good will, work-to-rule, protests, demonstrations and unofficial action.","ECONOMIC","RELATE"
"18:35:00  Alan Brown (Kilmarnock and Loudoun) (SNP) The right hon<prd> Member for Witham (Priti Patel) said that this was a partisan debate.","not_statement","not_statement"
"Not only is this legislation a vindictive assault on the basic freedoms of British working people, but it is as empty of detail as it is full of holes.","POLIT","JUST"
"We are seeing a tiny minority of workers taking decisions that inconvenience the lives of millions. He will know the huge economic cost of those decisions.","ECONOMIC","ECONOMIC"
"So is this Bill not just covering up his failure to negotiate basic trade union agreements?","COLLECTIVE","not_statement"
"It does not strike me as unreasonable to seek a mechanism whereby the right of a worker to strike, which I have no quibble with, is balanced against the equally important right of an individual to go about their daily life, to travel to work, for healthcare, for education, to visit loved ones or for any of the millions of other reasons why people travel about.","BALANC","not_statement"
"Members must not shout other Members down.","not_statement","not_statement"
"I commend the Bill to the House.","AUTONOMY","not_statement"
"I am very well aware that I stand on the shoulders of giants from the generations that have gone before me and fought for my rights in the workplace�the rights for a weekend, for maternity pay and for sick pay. Those rights make workers more productive and happy. If those on the Government Benches are serious about protecting and growing our economy, they would take trade unions seriously as a partner and strengthen their rights, not remove them.","ECONOMIC","ECONOMIC"
"”  This new clause would require the Secretary of State, when making regulations under Part 1 and 2 of the Bill, to have regard to the objective of the international competitiveness of the economy and its growth in the medium to long term.","ECONOMIC","not_statement"
"The Government’s intention is to ensure that it is more difficult for a small and unscrupulous minority of employers to ignore their collective redundancy obligations, as we have seen in recent years.","BALANC","DETER"
"The consensus on the economic impacts of labour laws is that, far from being harmful to growth, they contribute positively to productivity. Labour laws also help ensure that growth is more inclusive and that gains are distributed more widely across society","ECONOMIC","ECONOMIC"
"The Bill must be seen as part of a wider effort to move our economy and our society away from vested interests and the stifling effects of corporatism and back in favour of the common good of all working people in this country.","ECONOMIC","AUTONOMY"
"Amendment 281, page 21, line 39, leave out “a specified amount of time” and insert “a week”.","not_statement","not_statement"
