"text","concept","right","pred_concept","concept_predprob","pred_right"
" Is not it a fundamental right that people�s pay packets should not be interfered with, without them knowing exactly where the money and the dues are going? That is what this Bill seeks to achieve","AUTONOMY","GENERAL","BALANC","0.9999","STRIKE"
"and many others now facing the prospect of losing their job as deeper cuts to the public sector continue to bite.","ECONOMIC","STATUS","BALANC","0.8366","GENERAL"
"This is a vindictive Bill that is designed not to address a social, moral or economic priority, but to fundamentally damage political opposition. It is more than a step too far.","POLIT","GENERAL","POLIT","0.7879","GENERAL"
"Does the Minister see this as helping people to overcome some of that stigma by not having to go through the court process?","RELATE","GENERAL","RIGHTS","0.9999","GENERAL"
"Is this Bill justified? The European convention clearly states in article 11 that a restriction on the right to strike would be judged by reference to whether it is

�necessary in a democratic society�.

With strike action at an all-time low. I see no legal justification for such savage stripping of fundamental democratic rights.","LEGAL","STRIKE","AUTONOMY","1.0000","STRIKE"
"The reality is that safe agreements are negotiated between the staff and the employers. That happens on the ground, the process and the outcomes protect the NHS, because that is what staff want to do.","BALANC","STRIKE","RELATE","1.0000","STRIKE"
"He will know, first, that the British people voted for this Bill at the general election and, secondly, that opinion poll after opinion poll has shown broad support for the measures we are discussing today.","POLIT","GENERAL","JUST","1.0000","GENERAL"
"They recognise that collective consultation with their workforce can be valuable in finding solutions to the challenges that businesses face","ECONOMIC","STRIKE","RELATE","1.0000","STATUS"
" Businesses need to ensure that the process for terminating is not unduly onerous and that consumers can signal their intent to end the contract through a single communication.","JUST","","COMPL","0.9975","SECURITY"
"I may not have seen it in the Bill, but does the Minister have any plans to ensure that this becomes a protected area of sick leave?","RIGHTS","WAGES","RIGHTS","0.8386","WAGES"
" If the Government are going to introduce thresholds, they need to consider securing workplace balloting, which could be easily sorted out by Electoral Reform Services, or online voting.","REPLIC","GENERAL","REPLIC","0.7358","STRIKE"
"Trade unions have a constructive role to play, but like all organisations they must modernise, move with the times, and accept that with power and influence comes the need for more accountability and more transparency.","REPLIC","GENERAL","BALANC","1.0000","STRIKE"
"The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person’s right to strike does not infringe on someone else’s right to life and limb.","ECONOMIC","STRIKE","PHYSICAL","1.0000","STRIKE"
" We think that that is the right balance and that it will leave people in a much better position.","BALANC","WAGES","BALANC","0.9639","WAGES"
" As with most of this Government’s policies, this attempt to deny workers what is universally regarded as a fundamental human right seeks to divide communities and pit worker against worker, forcing some of them to walk past their colleagues and cross picket lines—although everyone here knows that I never have and never will cross a picket line.","JUST","STRIKE","AUTONOMY","0.9778","STRIKE"
"The Government say that they want to give trade unions more democratic legitimacy, but this is, in fact, about delegitimising trade unions, increasing the threshold they need in order to go on strike but  resisting their modernising calls to introduce electronic ballots.","AUTONOMY","STRIKE","RIGHTS","1.0000","GENERAL"
"What has happened in that disruption is that although the nurses have very sensibly provided a national level of safe service, unfortunately the same has not happened in the ambulance service. That is why this legislation is required in other areas at this time","ADEQ","STRIKE","PHYSICAL","1.0000","STRIKE"
"Does my hon. Friend agree that as the Bill is a fundamental attack on democracy, human rights and trade unions, it will boost Labour party membership by thousands more as people protest against this evil Bill?","JUST","GENERAL","AUTONOMY","1.0000","GENERAL"
"It is fairly obvious to say that a minimum service level in railways, for example, is about people’s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.","ECONOMIC","STRIKE","PHYSICAL","1.0000","STRIKE"
"I think that it is very unfortunate that the RMT has chosen to be so confrontational.","RELATE","GENERAL","CREATE","0.8994","STRIKE"
"The thresholds proposed in the Bill are a hypocrisy. Why should we apply a higher standard to working people who wish to organise unions in this country than we apply to ourselves? I would not be serving in this House today if I had been expected to meet the thresholds  that have been proposed for our trade unions.","CREATE","GENERAL","RIGHTS","1.0000","GENERAL"
"It does not remove people’s ability to strike, but it prevents union bosses who perhaps are not as reasonable as the RCN from calling strikes that potentially put people’s lives at risk.","RELATE","STRIKE","PHYSICAL","0.9986","STRIKE"
"and poses a real and present danger to our economic viability as a nation. I call on Members to reject this Bill today. Failure to do so will open an economic and democratic Pandora�s box that unleashes something so pernicious that we will not be able to close the lid again.","ECONOMIC","GENERAL","JUST","1.0000","GENERAL"
"Just as the workplace has evolved and improved since that time, so the trade unions and the laws that govern them have developed too. I hope that, in 2015, no one would argue for the return of the closed shop, the show-of-hands votes in dimly lit car parks or the wildcat walk-outs enforced by a handful of heavies.  That is why the Labour Government repealed not a single piece of union legislation during their 13 years in power. Now it is time for Britain�s unions to take the next step, and the Bill will help to achieve just that.
","COMPAR","STRIKE","POWER","1.0000","STRIKE"
"It is important to say that I agree with him, for once, because we are trying to work constructively—as we should—to bring strikes to a conclusion, but we must not do so at the expense of the lives and livelihoods of our constituents.","PHYSICAL","STRIKE","RELATE","1.0000","STRIKE"
"The reforms before us will help and support regular union members who come up against the worst excesses of those on the left who put firebrand politics first.
","POLIT","GENERAL","POLIT","1.0000","GENERAL"
"The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.","BALANC","STATUS","BALANC","1.0000","STATUS"
"The Secretary of State just mentioned that minimum service levels exist in many other countries, including Italy, Spain and France.","COMPAR","STRIKE","COMPAR","1.0000","STRIKE"
"No party can claim to be representative of workers when they attack the workers� very own institutions�the trade unions.","AUTONOMY","GENERAL","POLIT","1.0000","GENERAL"
"This whole debate is about balancing the right to strike with the right of our citizens to have access to key services when they need them—the right of citizens to get to work, the right of children to get to school, and the right of small business owners to continue their business.
","BALANC","STRIKE","BALANC","1.0000","STRIKE"
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation. ","RIGHTS","GENERAL","RIGHTS","1.0000","SECURITY"
"To cut back facility time would rob people of the ability to have a friend in the world of work that they can count on at a time of need.","ACCESS","GENERAL","AUTONOMY","0.9543","GENERAL"
"My Liberal Democrat colleagues and I are also pushing for an amendment to make caring a protected characteristic.","RIGHTS","STATUS","JUST","1.0000","SECURITY"
"Finally, my great friend my hon. and gallant Friend the Member for Bracknell (James Sunderland) mentioned that our armed forces and the police have not been able to strike for over 100 years. That system has worked, so I am not necessarily worried about this particular piece of legislation.","COMPAR","STRIKE","ADEQ","1.0000","GENERAL"
" my simple question is: why not deal with that through a general anti-intimidation law rather than a specific union law?","CREATE","GENERAL","REPLIC","0.9989","GENERAL"
"The Bill, which has been bodged both in Committee and today, has been put together simply to assuage the union paymasters that fund so many Labour Members.","POLIT","GENERAL","ADEQ","1.0000","STRIKE"
"I ask all Members to vote against this most pernicious, partisan and overtly political Bill, which is one of the most objectionable that I have seen in my time in the House.","POLIT","GENERAL","POLIT","1.0000","GENERAL"
"That is fair for workers and businesses.","JUST","GENERAL","BALANC","0.7854","WAGES"
"The Government firmly believe that the ability to strike is an important element of industrial relations in the UK. That ability is rightly protected by law, and we understand that an element of disruption is likely with any strike.","LEGAL","STRIKE","POLIT","0.9184","STRIKE"
"But does the hon. Gentleman accept that those strikes have tripled since the Tories took over in London in 2008? It is an absolute disgrace that the Mayor of London has never sat down and met the trade unions and treated them as though they were equal partners or human beings in the same race.","RELATE","STRIKE","AUTONOMY","1.0000","STRIKE"
"The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the Government’s legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in education—only in transport. That does not appear in the human rights memorandum that accompanies this Bill.","RIGHTS","STRIKE","BALANC","0.7123","STRIKE"
"The truth is, however, that the legislation will not make any difference. The ballots held by ASLEF and the National Union of Rail, Maritime and Transport Workers have huge turnouts, and their members are expressing legitimate concerns about safety and manning levels that many of the travelling public share. I do not know whether the hon. Gentleman has used the tube recently, but the stations are being denuded of the human beings who used to be there to offer assistance. This measure will do nothing to help that position. In fact, it will make matters worse.","RIGHTS","STRIKE","ECONOMIC","1.0000","STRIKE"
"Businesses will gain too, where this boosts workforce participation and helps employers to fill vacancies. ","ECONOMIC","STATUS","POLIT","0.9799","GENERAL"
"a very high percentage of people who are trade union representatives and members are extremely concerned about this Bill�s possible infringement  of their right and freedom to assemble, which is guaranteed by article 11 of the European convention on human rights.","AUTONOMY","GENERAL","LEGAL","1.0000","GENERAL"
