"text","concept","organization","pred_concept","concept_predprob","pred_organization"
" Is not it a fundamental right that people�s pay packets should not be interfered with, without them knowing exactly where the money and the dues are going? That is what this Bill seeks to achieve","AUTONOMY","Conservative Party","POLIT","1.0000","Conservative Party"
"and many others now facing the prospect of losing their job as deeper cuts to the public sector continue to bite.","ECONOMIC","Labour Party","RIGHTS","0.7264","Labour Party"
"This is a vindictive Bill that is designed not to address a social, moral or economic priority, but to fundamentally damage political opposition. It is more than a step too far.","POLIT","Labour Party","ECONOMIC","1.0000","Labour Party"
"Does the Minister see this as helping people to overcome some of that stigma by not having to go through the court process?","RELATE","Labour Party","RIGHTS","0.9986","Conservative Party"
"Is this Bill justified? The European convention clearly states in article 11 that a restriction on the right to strike would be judged by reference to whether it is

�necessary in a democratic society�.

With strike action at an all-time low. I see no legal justification for such savage stripping of fundamental democratic rights.","LEGAL","Labour Party","LEGAL","0.9999","Scottish National Party"
"The reality is that safe agreements are negotiated between the staff and the employers. That happens on the ground, the process and the outcomes protect the NHS, because that is what staff want to do.","BALANC","Labour (Co-op)","RELATE","1.0000","Labour"
"He will know, first, that the British people voted for this Bill at the general election and, secondly, that opinion poll after opinion poll has shown broad support for the measures we are discussing today.","POLIT","Conservative Party","JUST","1.0000","Conservative Party"
"They recognise that collective consultation with their workforce can be valuable in finding solutions to the challenges that businesses face","ECONOMIC","Conservative Party","RELATE","0.7943","Conservative Party"
" Businesses need to ensure that the process for terminating is not unduly onerous and that consumers can signal their intent to end the contract through a single communication.","JUST","Conservative Party","COMPL","0.9995","Labour"
"I may not have seen it in the Bill, but does the Minister have any plans to ensure that this becomes a protected area of sick leave?","RIGHTS","Conservative Party","ECONOMIC","0.7468","Labour Party"
" If the Government are going to introduce thresholds, they need to consider securing workplace balloting, which could be easily sorted out by Electoral Reform Services, or online voting.","REPLIC","Scottish National Party","RIGHTS","0.9899","Conservative Party"
"Trade unions have a constructive role to play, but like all organisations they must modernise, move with the times, and accept that with power and influence comes the need for more accountability and more transparency.","REPLIC","Conservative Party","REPLIC","0.9765","Conservative Party"
"The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person’s right to strike does not infringe on someone else’s right to life and limb.","ECONOMIC","Conservatives","PHYSICAL","1.0000","Conservative Party"
" We think that that is the right balance and that it will leave people in a much better position.","BALANC","Labour Party","BALANC","0.7271","Conservative Party"
"The Government say that they want to give trade unions more democratic legitimacy, but this is, in fact, about delegitimising trade unions, increasing the threshold they need in order to go on strike but  resisting their modernising calls to introduce electronic ballots.","AUTONOMY","Labour Party","RIGHTS","0.9983","Conservative Party"
"What has happened in that disruption is that although the nurses have very sensibly provided a national level of safe service, unfortunately the same has not happened in the ambulance service. That is why this legislation is required in other areas at this time","ADEQ","Conservative Party","ADEQ","0.7793","Conservative Party"
"Does my hon. Friend agree that as the Bill is a fundamental attack on democracy, human rights and trade unions, it will boost Labour party membership by thousands more as people protest against this evil Bill?","JUST","Labour Party","AUTONOMY","0.9998","Scottish National Party"
"It is fairly obvious to say that a minimum service level in railways, for example, is about people’s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.","ECONOMIC","Conservatives","PHYSICAL","1.0000","Conservatives"
"I think that it is very unfortunate that the RMT has chosen to be so confrontational.","RELATE","Conservative Party","POLIT","0.9111","Labour Party"
"The thresholds proposed in the Bill are a hypocrisy. Why should we apply a higher standard to working people who wish to organise unions in this country than we apply to ourselves? I would not be serving in this House today if I had been expected to meet the thresholds  that have been proposed for our trade unions.","CREATE","Labour Party","RIGHTS","1.0000","Conservative Party"
"It does not remove people’s ability to strike, but it prevents union bosses who perhaps are not as reasonable as the RCN from calling strikes that potentially put people’s lives at risk.","RELATE","Conservatives","POLIT","1.0000","Conservative Party"
"and poses a real and present danger to our economic viability as a nation. I call on Members to reject this Bill today. Failure to do so will open an economic and democratic Pandora�s box that unleashes something so pernicious that we will not be able to close the lid again.","ECONOMIC","Labour Party","JUST","0.9950","Conservative Party"
