"text","concept","person","pred_concept","concept_predprob","pred_person"
" Is not it a fundamental right that people�s pay packets should not be interfered with, without them knowing exactly where the money and the dues are going? That is what this Bill seeks to achieve","AUTONOMY","Michael Ellis","POLIT","1.0000","Sajid Javid"
"and many others now facing the prospect of losing their job as deeper cuts to the public sector continue to bite.","ECONOMIC","Alex Cunningham","RIGHTS","0.7264","Alex Cunningham"
"This is a vindictive Bill that is designed not to address a social, moral or economic priority, but to fundamentally damage political opposition. It is more than a step too far.","POLIT","Andy McDonald","ECONOMIC","1.0000","Jack Dromey"
"Does the Minister see this as helping people to overcome some of that stigma by not having to go through the court process?","RELATE","Bill Esterson","RIGHTS","0.9986","Bill Esterson"
"Is this Bill justified? The European convention clearly states in article 11 that a restriction on the right to strike would be judged by reference to whether it is

�necessary in a democratic society�.

With strike action at an all-time low. I see no legal justification for such savage stripping of fundamental democratic rights.","LEGAL","Rebecca Long Bailey","LEGAL","0.9999","Andy McDonald"
"The reality is that safe agreements are negotiated between the staff and the employers. That happens on the ground, the process and the outcomes protect the NHS, because that is what staff want to do.","BALANC","Rachael Maskell","RELATE","1.0000","Rachael Maskell"
"He will know, first, that the British people voted for this Bill at the general election and, secondly, that opinion poll after opinion poll has shown broad support for the measures we are discussing today.","POLIT","Sajid Javid","JUST","1.0000","Sajid Javid"
"They recognise that collective consultation with their workforce can be valuable in finding solutions to the challenges that businesses face","ECONOMIC","Justin Madders","RELATE","0.7943","Justin Madders"
" Businesses need to ensure that the process for terminating is not unduly onerous and that consumers can signal their intent to end the contract through a single communication.","JUST","Greg Smith","COMPL","0.9995","Justin Madders"
"I may not have seen it in the Bill, but does the Minister have any plans to ensure that this becomes a protected area of sick leave?","RIGHTS","Alec Shelbrooke","ECONOMIC","0.7468","Justin Madders"
" If the Government are going to introduce thresholds, they need to consider securing workplace balloting, which could be easily sorted out by Electoral Reform Services, or online voting.","REPLIC","Chris Stephens","RIGHTS","0.9899","Sajid Javid"
"Trade unions have a constructive role to play, but like all organisations they must modernise, move with the times, and accept that with power and influence comes the need for more accountability and more transparency.","REPLIC","Alan Mak","REPLIC","0.9765","Justin Madders"
"The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person’s right to strike does not infringe on someone else’s right to life and limb.","ECONOMIC","Grant Shapps","PHYSICAL","1.0000","Grant Shapps"
" We think that that is the right balance and that it will leave people in a much better position.","BALANC","Justin Madders","BALANC","0.7271","Rishi Sunak"
"The Government say that they want to give trade unions more democratic legitimacy, but this is, in fact, about delegitimising trade unions, increasing the threshold they need in order to go on strike but  resisting their modernising calls to introduce electronic ballots.","AUTONOMY","Wes Streeting","RIGHTS","0.9983","Sajid Javid"
"What has happened in that disruption is that although the nurses have very sensibly provided a national level of safe service, unfortunately the same has not happened in the ambulance service. That is why this legislation is required in other areas at this time","ADEQ","Grant Shapps","ADEQ","0.7793","Grant Shapps"
"Does my hon. Friend agree that as the Bill is a fundamental attack on democracy, human rights and trade unions, it will boost Labour party membership by thousands more as people protest against this evil Bill?","JUST","Geraint Davies","AUTONOMY","0.9998","Geraint Davies"
"It is fairly obvious to say that a minimum service level in railways, for example, is about people’s livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.","ECONOMIC","Grant Shapps","PHYSICAL","1.0000","Grant Shapps"
"I think that it is very unfortunate that the RMT has chosen to be so confrontational.","RELATE","Chris Philp","POLIT","0.9111","Sajid Javid"
"The thresholds proposed in the Bill are a hypocrisy. Why should we apply a higher standard to working people who wish to organise unions in this country than we apply to ourselves? I would not be serving in this House today if I had been expected to meet the thresholds  that have been proposed for our trade unions.","CREATE","Cat Smith","RIGHTS","1.0000","Grant Shapps"
"It does not remove people’s ability to strike, but it prevents union bosses who perhaps are not as reasonable as the RCN from calling strikes that potentially put people’s lives at risk.","RELATE","Grant Shapps","POLIT","1.0000","Grant Shapps"
"and poses a real and present danger to our economic viability as a nation. I call on Members to reject this Bill today. Failure to do so will open an economic and democratic Pandora�s box that unleashes something so pernicious that we will not be able to close the lid again.","ECONOMIC","Rebecca Long Bailey","JUST","0.9950","Rebecca Long Bailey"
"Just as the workplace has evolved and improved since that time, so the trade unions and the laws that govern them have developed too. I hope that, in 2015, no one would argue for the return of the closed shop, the show-of-hands votes in dimly lit car parks or the wildcat walk-outs enforced by a handful of heavies.  That is why the Labour Government repealed not a single piece of union legislation during their 13 years in power. Now it is time for Britain�s unions to take the next step, and the Bill will help to achieve just that.
","COMPAR","Sajid Javid","POWER","1.0000","Greg Smith"
"It is important to say that I agree with him, for once, because we are trying to work constructively—as we should—to bring strikes to a conclusion, but we must not do so at the expense of the lives and livelihoods of our constituents.","PHYSICAL","Grant Shapps","RELATE","1.0000","Grant Shapps"
"The reforms before us will help and support regular union members who come up against the worst excesses of those on the left who put firebrand politics first.
","POLIT","David Rutley","POLIT","1.0000","Sajid Javid"
"The Government have tabled a range of amendments in relation to zero-hours measures. These amendments will help ensure that the zero-hours contract reforms work for workers and employers, supporting a culture where secure work and prosperous growth go hand in hand.","BALANC","Justin Madders","BALANC","1.0000","Justin Madders"
"The Secretary of State just mentioned that minimum service levels exist in many other countries, including Italy, Spain and France.","COMPAR","Vicky Ford","COMPAR","1.0000","Grant Shapps"
"No party can claim to be representative of workers when they attack the workers� very own institutions�the trade unions.","AUTONOMY","Liz McInnes","POLIT","0.9998","Natalie McGarry"
"This whole debate is about balancing the right to strike with the right of our citizens to have access to key services when they need them—the right of citizens to get to work, the right of children to get to school, and the right of small business owners to continue their business.
","BALANC","Chris Loder","BALANC","1.0000","Rishi Sunak"
"This is a landmark Bill that, once implemented, will represent the biggest upgrade in employment rights for a generation. ","RIGHTS","Justin Madders","RIGHTS","0.9966","Steve Witherden"
"To cut back facility time would rob people of the ability to have a friend in the world of work that they can count on at a time of need.","ACCESS","Jack Dromey","AUTONOMY","0.9998","Andrew Bridgen"
"My Liberal Democrat colleagues and I are also pushing for an amendment to make caring a protected characteristic.","RIGHTS","Alison Bennett","JUST","1.0000","Alison Bennett"
"Finally, my great friend my hon. and gallant Friend the Member for Bracknell (James Sunderland) mentioned that our armed forces and the police have not been able to strike for over 100 years. That system has worked, so I am not necessarily worried about this particular piece of legislation.","COMPAR","Gagan Mohindra","ADEQ","1.0000","Nick Boles"
" my simple question is: why not deal with that through a general anti-intimidation law rather than a specific union law?","CREATE","David Davis","REPLIC","1.0000","Alan Johnson"
"The Bill, which has been bodged both in Committee and today, has been put together simply to assuage the union paymasters that fund so many Labour Members.","POLIT","Gregory Stafford","ADEQ","1.0000","Sajid Javid"
