text,pred_label,true_label
"We have seen businesses and, in Essex, small and medium-sized enterprises, operating on tight margins—not glitzy corporations—now suffering because of the strikes.",GENERAL,STRIKE
" Is not it a fundamental right that people�s pay packets should not be interfered with, without them knowing exactly where the money and the dues are going? That is what this Bill seeks to achieve",GENERAL,GENERAL
"It threatens teachers and nurses with the sack during a recruitment and retention crisis, and mounts an outright assault on the fundamental freedom of working people, while doing absolutely nothing to resolve the crisis at hand.",GENERAL,STRIKE
"They have slashed legal aid and introduced employment tribunal fees, which deny women the chance to sue for equal pay or defend themselves against sexual harassment.",EQUAL,EQUAL
"It contains wide, prospective Henry VIII powers, and as we saw during the pandemic, if we give the Government such powers, they abuse them—but they are putting them in legislation.",STRIKE,STRIKE
"This once great movement has become a left-wing sect in thrall to union leaders who have become ever more extreme while their membership declines. It falls to us as Conservatives to stand up for working people in every part of this great nation. It is this Conservative Government who are investing in apprenticeships, creating millions of jobs and ensuring that work always pays.",GENERAL,GENERAL
"Finally, on the political fund, I believe that the right way forward is proper reform of political funding across the board. It is very difficult to do that without a comprehensive solution. I know it was tried in the last Parliament and it did not work, but I urge the Government and the Opposition to sit down and try to sort it out once and for all.",STRIKE,GENERAL
"Instead, unions will provide reminders about members’ right to opt out every 10 years, ensuring transparency without imposing costly and time-consuming ballots",GENERAL,GENERAL
"The best answer to that was that given by The Times commentator",GENERAL, Philip Collins
"Does my hon. Friend agree that the context of this Bill is that it is intended to deal with the problem of a 77% increase in the loss of working days over recent times? Last year alone the number of days lost to industrial action was higher than the average of the 1990s and 2000s.",STRIKE,STRIKE
"As for the issue of people attending picket lines and putting on armbands, numerous Members have said that it would be far better to put on a shirt that read �Blacklist me�I do not want further employment.� Why not put a target on the back, and then put on a big hat? And as for the issue of agency workers, I can see a problem with people on benefits who will be sanctioned if they do not agree to be bussed into places where there are disputes, and to break strikes.",STRIKE,GENERAL
"Employers will be required to consult the union on the number of workers to be identified in the work notice and the work to be undertaken, and have regard to the union’s views before issuing that work notice.",STRIKE,STRIKE
" They will still allow the unions to raise the funds, but they will just have to be more open about how they do so and what they do with them.",STRIKE,GENERAL
